# ------------------------------------------------------
# Last Update: re-verified by Valminder Jan 10, 2012.
# ------------------------------------------------------
# ---------------------------------------------------
# Last Update: modified by Valminder July 12, 2006.
# ---------------------------------------------------
#
# 3rd Edition D&D Random Adventure and 'Game Hook' Generation Table
# by Larry Cormier
#
# HTML-formatted
#
# This Table was designed to generate nearly complete Random Adventures, as
# well as 'Adventure Hooks' that can easily be sprung on your unsuspecting
# characters. The ideas generated by this table can be inserted into the
# middle of an ongoing campaign, or provide inspiration for starting a
# brand new Adventure that can stimulate the creative juices in all of you
# who (like me) enjoy building an adventure 'from scratch' - from a basic
# seed idea!
#
# I've attempted to consolidate several of the Adventure-generation tables
# available from TableSmith, as well as other tables that lent themselves to
# the enhancment of the concept of this table.
#
# Like any Random Generator, some things might not make sense - but then
# again, if you think about it, maybe they DO Make sense - in a deranged sort
# of way! Needless to say, if the situations that are generated by this table
# are just TOO bizarre, tweak it a bit until it DOES make sense... or just
# re-roll.
#
# It's just one more tool to provide ideas for those times when you need a
# spur-of-the-moment adventure fix!
#
# One more thing... I'm not NEARLY finished with this table. I've still got a
# lot of ideas that I want to implement. Look for updates as I implement
# those ideas!
#
# NOTE: This Table calls these other tables as necessary:
#  1, Dungeon Map.tab ===========> Renamed to [MAP Dungeon.tab]
#  2, Caverns2.tab ==============> Renamed to [MAP Cavern.tab]
#  3, Riddles.tab
#  4, Temples.tab ===============> Renamed to [SITE Temples.tab]
#  5, Book Descriptions.tab
#  6, Jewelry.tab
#  7, Gems2.tab
#  8, Ruins.tab =================> Renamed to [SITE Ruins.tab]
#  9, Random Ruins.tab ==========> Renamed to [SITE Ruined City Building.tab]
# 10, Castles.tab
# 11, ENC Short Encounter Generator.tab
# 12, Plot Ideas.tab ============> Renamed to [ADV Plot Ideas.tab]
# 13, Monster Stats.tab
# 14, Random Rumors.tab =========> Already included in [Rumors.tab]
# 15, Rumors.tab
# 16, Sword Descriptions.tab
# 17, Magic Weapon Names.tab
# 18, Town Names.tab
# 19, Miscellaneous.tab
# 20, Creatures.tab
# 21, Wilderness Hooks.tab ======> Renamed to [ENC Wilderness.tab]
# 22, Magical Statues.tab =======> Renamed to [DUN Magical Statues.tab]
# 23, Wilderness Encounters.tab
# 24, NPC Appearance.tab
# 25, Random Tombs.tab ==========> Renamed to [ADV Random Tombs.tab]]
# 26, The Oracle.tab
# 27, ADV Bets Down.tab
# 28, MAP Clearings.tab
# 29, MAP Ruins.tab
# 30, MAP Building.tab
# 31, SITE City Buildings
#
# Modified by Valminder, Dec 2005.
#    Adapted for TSv5.
#    Changed:
#       [Random Rumors.tab] to [Rumors.Rumor] 
#          (Rumors.tab has all the rumors from the other table) 
#    Renamed some tables, as listed above.
#    Added link to:
#       Rumors.Reward1
#
# Updated by Larry Cormier, Dec 2005.
#    Added Link and associated code to use:
#      The Oracle.tab
#    Modified Call to Monster Stats to allow Table to call any of the
#      400+ Monsters Stats available in that table Randomly
#    Added Link to:
#      ADV Bets Down.tab as an additional source of Game Hooks
#    Fixed the Statue/Idol calling code discrepancies
#    Cleaned up miscellaneous display code
#
# Modified by Valminder, Dec 2005.
#    [ADV Random Tombs.GenerateTomb(,1)] was added.
#    Modified [ENC Short Encounter Generator.Start] line since
#       I modified the "Short Encounter" table
#    Added parameter to Choose Core Gods (from PH) or gods from
#       [Religion.Deities]. The default is [Religion.Deities].
#
# Modified by Larry Cormier, Jan 2006
#    Added Specialized Monster Encounter coding for:
#       Sphinxes and Witches (Hags) 
#    Added Link and associated code to permit the use of:
#       MAP Clearings.tab
#       MAP Ruins.tab
#       MAP Buildings.tab
#       SITE City Buildings.tab
#
# Modified by Valminder, July 2006.
#    Added "OverRideRolls"
#    

/OverRideRolls 1
3,You've [AdType] that indicate

:Initiator
1,that some type of monster |MonsterFlag=1|[Chanceof]{If~%Chance% < 70 ? [Discovered]/ is terrorizing the populace} near
_ [Chanceof]{If~%Chance% < 50 ? {AorAn~[Distance]} [Place]./{AorAn~[Distance]} [Structure].}
_ {Cap~{AorAn~[NPCSetup]}}[Patron] |ContactFlag=1| would like you to
_ [Chanceof]{If~%Chance% < 50 ? [Resolve]/[Investigate]} the [Chanceof]{If~%Chance% < 50 ? situation./ problem.}
2,[Patron] |ContactFlag=1| [Hiring Branch] to [Do What].
3,{AorAn~[Event]} near [Chanceof]{If~%Chance% < 50 ? {AorAn~[Distance]} [Place]./{AorAn~[Distance]} [Structure].}
_ {Cap~{AorAn~[Patron]}} |ContactFlag=1| would like you to [Investigate] the [Chanceof]{If~%Chance% < 50 ? situation./ problem.}
4,{AorAn~[Thing]} [AboutThings] [Discovered] near [Chanceof]{If~%Chance% < 50 ? {AorAn~[Distance]} [Place]./{AorAn~[Distance]} [Structure].}
_ {Cap~[Motivation]} the discovery - so {AorAn~[Patron]} |ContactFlag=1| would like [Chanceof]{If~%Chance% < 20 ? you/ someone}
_ to [Investigate] the [Chanceof]{If~%Chance% < 50 ? situation/ problem} [Timeframe].
5,{AorAn~[Distance]} [Place] [AboutPlaces].
6,[Chanceof]{If~%Chance%<80 ? |StatueFlag=1|/|StatueFlag=2|} [StatueType=%StatueFlag%] [AboutThings] [Discovered] near
_ [Chanceof]{If~%Chance% < 50 ? {AorAn~[Distance]} [Place]./{AorAn~[Distance]} [Structure].}
_ {Cap~[Motivation]} the discovery - so {AorAn~[Patron]} |ContactFlag=1| would like [Chanceof]{If~%Chance% < 20 ? you/ someone}
_ to [Investigate] the [Chanceof]{If~%Chance% < 50 ? situation/ problem} [Timeframe].
_ [Chanceof]{If~%Chance%>80 ? |StatuePowerFlag=1|}
7,{AorAn~[NaturalEvent]} [Opened] a [HowHidden] [Chanceof]{If~%Chance%<80 ? |StatueFlag=1|/|StatueFlag=2|}
_ [StatueType=%StatueFlag%] [AboutThings] near [Chanceof]{If~%Chance% < 50 ? {AorAn~[Distance]} [Place]./{AorAn~[Distance]} [Structure].}
_ {Cap~{AorAn~[Patron]}} |ContactFlag=1| would like you to [Investigate] the [Chanceof]{If~%Chance% < 50 ? situation./ problem.}
_ [Chanceof]{If~%Chance%>80 ? |StatuePowerFlag=1|}

:DetailBold
1,<b>Initial Contact:</b>
2,<b>Person Sought:</b>[NPCSetup]
3,<b>Name of Artifact:</b>
4,<b>Tomb Details:</b>
5,<b>Map of Cavern:</b>
6,<b>Map of Area:</b>
7,<b>Sphinx Riddle:</b>
8,<b>Temple Description:</b>
9,<b>Book Sought:</b>
10,<b>Jewelry Description:</b>
11,<b>Gem Description:</b>
12,<b>Weapon Sought:</b>
13,<b>Ruins Description:</b>
14,<b>Castle Description:</b>
15,<b>Monster:</b>
16,<b>Sword Description:</b>
17,<b>{If~%StatueFlag%=1? Statue/Idol} Description:</b>
18,<b>{If~%StatueFlag%>0? {If~%StatueFlag%=1 ? Statue/Idol}'s Description and Power:}</b>
19,<b>This Rumor is False</b>
20,<b>Talking with the [MysteriousFigures=%OracleFlag%] may elicit these Cryptic Responses:</b>

:DetailsDescription
1,{If~%ArtifactFlag% > 0 ? <br><br>[DetailBold=3]<i>{If~%ArtifactFlag% = 1 ? [Magical Artifact]/ [Mundane Artifact]}}</i>
_ {If~%WeaponFlag%=1 ? <br><br>[DetailBold=12] [Chanceof]{If~%Chance% < 20 ? {Cap~[RangeWeapons]}/ {Cap~[MeleeWeapons]}}
_ [Chanceof]{If~%Chance% < 100 ? of [Magic Weapon Names.Descriptor]}. This item [ReasonWanted]}
_ {If~%SwordFlag%=1 ? <br><br>[DetailBold=16] [Sword Descriptions.Start]}
_ {If~%TombFlag%=1 ? <br><br>[DetailBold=4] <br>[ADV Random Tombs.GenerateTomb(,1)]}
_ {If~%CavernFlag%=1 ? <br><br>[DetailBold=5] <br><br>[~MAP Cavern.GenRandomMap]}
_ {If~%SphinxFlag%=1 ? <br><br>[DetailBold=7]<br>[Riddles.Start(2)][SphinxSelection]<br><br>
_ [Monster Stats.OrganizationSetup][Monster Stats.RandomMonster=%MonsterID%]}
_ {If~%TempleFlag%=1 ? <br><br>[DetailBold=8] When investigated, this Temple will be found to be [SITE Temples.Generate]}
_ {If~%BookFlag%=1 ? <br><br>[DetailBold=9]<br> [Book Descriptions.Start] This item [ReasonWanted]}
_ {If~%JewelryFlag%=1 ? <br><br>[DetailBold=10] [Jewelry.Start]. This item [ReasonWanted]}
_ {If~%GemsFlag%=1 ? <br><br>[DetailBold=11] {LCase~[Gems2.Start]}. This item [ReasonWanted]}
_ {If~%RuinsFlag%=1 ? <br><br>[DetailBold=13] These are the Ruins of [Chanceof]{If~%Chance% < 50 ? [SITE Ruins.GenerateAlternate]/
_ [SITE Ruined City Building.Generate]}}
_ {If~%CastleFlag%=1 ? <br><br>|BuildingFlag=7||Size=3|[DetailBold=14] This Castle is [Castles.Generate]}
_ {If~%MonsterFlag%=1 ? <br><br>[Chanceof][DetailBold=15]
_ {If~%Chance%>10 ? [FavoriteMonstersBranch][Monster Stats.OrganizationSetup(,%Bonus0Level%,,0)]
_ [Monster Stats.RandomMonster(,%Bonus0Level%,,0)=%MonsterID%]/
_ [Monster Stats.DetermineRandomMonster(,%Bonus0Level%,,0)]}}
_ {If~{And~%StatueFlag%>0,%StatuePowerFlag%=0}=1 ? <br><br>[Chanceof][DetailBold=17]
_ A [DUN Magical Statues.GenerateNonMagicalStatue(%StatueFlag%,%StatuePowerFlag%,)].
_ The rumors were false, this [StatueType=%StatueFlag%] has no special powers./<br><br>[DetailBold=18]}
_ {If~%StatuePowerFlag%=1 ? The [DUN Magical Statues.Generate(%StatueFlag%,%StatuePowerFlag%,)].}
_ {If~%HagFlag%=1 ? [Monster Stats.OrganizationSetup][Monster Stats.RandomMonster=%MonsterID%]}
_ {If~%ClearingFlag%>0 ? <br><br>[DetailBold=6]<br><br>[DetermineClearing=%ClearingFlag%]}
_ {If~%BuildingFlag%>0 ? [StructureBranch]}

:StructureBranch
# Random Generation
1,<br><br><b>Map of {Cap~[Structure=%BuildingFlag%]}:</b><br><br>
_ [SITE City Buildings.BuildingSize=%Size%][~SITE City Buildings.BuildingMap]

:StatueType
1,Statue
2,Idol

;SphinxSelection
# Androsphinx
1,|MonsterID=10|
# Criosphinx
1,|MonsterID=84|
# Gynosphinx
1,|MonsterID=186|
# Heirosphinx
1,|MonsterID=199|

:HagsOrWitches
1,[Chanceof]{If~%Chance%<100 ? [HagSelection]Witches (Actually Hags)|HagFlag=1|/Witches}

;HagSelection
# Annis Hag
1,|MonsterID=13|
# Green Hag
1,|MonsterID=179|
# Night Hag
1,|MonsterID=264|
# Sea Hag
1,|MonsterID=319|

:ClearingsBranch
# Random Generation
1,[~MAP Clearings.GenRandomMap]
# Random Generation with River
2,[~MAP Clearings.GenRandomMapRiver]
# Random Generation with Road
3,[~MAP Clearings.GenRandomMapRoad]
# Random Generation with Habitation
4,[~MAP Clearings.GenRandomMapInhabited]
# Random Generation - Trees and Turf only
5,[~MAP Clearings.GenRandomMapWild]

:DetermineClearing
1,[FieldBranch]
2,[ForestBranch]
3,[InhabitedBranch]

;FieldBranch
20,[ClearingsBranch=1]
15,[ClearingsBranch=2]
15,[ClearingsBranch=3]
5,[ClearingsBranch=4]
45,[ClearingsBranch=5]

;ForestBranch
30,[ClearingsBranch=1]
10,[ClearingsBranch=2]
10,[ClearingsBranch=3]
5,[ClearingsBranch=4]
45,[ClearingsBranch=5]

;InhabitedBranch
5,[ClearingsBranch=1]
5,[ClearingsBranch=2]
5,[ClearingsBranch=3]
80,[ClearingsBranch=4]
5,[ClearingsBranch=5]


:ClearVariables
1,|RumorFlag=0||ArtifactFlag=0||WeaponFlag=0||SwordFlag=0||TombFlag=0||CavernFlag=0|
_|TempleFlag=0||SphinxFlag=0||BookFlag=0||OracleFlag=0||HagFlag=0||ClearingFlag=0|
_|JewelryFlag=0||GemsFlag=0||RuinsFlag=0||CastleFlag=0||MonsterFlag=0||StatueFlag=0|
_|TempNumber={Dice~1d5}|The Players discover
_{If~%TempNumber%=1 ? [Initiator=%TempNumber%]/ that {AorAn~[Initiator=%TempNumber%]}}

:AdType
1,seen notices around town
2,heard rumors|RumorFlag={Dice~1d10}|
3,overheard conversations
4,noticed signs posted [Chanceof]{If~%Chance% < 50 ? all over the place/ everywhere}

:Hiring Branch
1,would like to hire [Chanceof]{If~%Chance% < 20 ? you/ someone}
2,is looking for someone
3,needs someone
4,wants to hire [Chanceof]{If~%Chance% < 20 ? you/ someone}
5,wants [Chanceof]{If~%Chance% < 20 ? you/ someone}

:Portents
1,has had a vison. {Cap~[Motivation]} the vision, so {AorAn~[Patron]} [Hiring Branch] to [Investigate]
_ the potential ramifications of details of the vision.|ContactFlag=1|
2,has just read {AorAn~[TimeLine]} |TempNumber={Dice~1d11}|[Readable=%TempNumber%]. {Cap~[Motivation]} the [Readable=%TempNumber%],
_ so {AorAn~[Patron]} [Hiring Branch] to [Investigate] the validity of the portents described within it.|ContactFlag=1|

:NPCSetup
1,|Race={Dice~1d7}|[Chanceof]{If~%Chance% < 75 ? |Gender=1|/ |Gender=2|}

:OtherThings
1,Further investigation shows[Chanceof]{If~%Chance% < 75 ? faint/ heavy} magical emanations surrounding the find.
2,Further investigation shows[Chanceof]{If~%Chance% < 75 ? faint traces/ heavy areas} of blood nearby.
3,Further investigation uncovers peculiar markings around the area.
4,After {Dice~2d3} rounds, the PCs begin to feel uncomfortable - but there is no apparent reason for their unease.

:ReasonWanted
1,is of sentimental value.
2,was stolen from the client[Chanceof]{If~%Chance% < 20 ? and they want it back on principle}.
3,has undisclosed magical properties.
4,is more valuable than it seems.
5,is an Heirloom.

:RewardsBranch
1,{Dice~1d5*100} gp apiece.
2,a [Chanceof]{If~%Chance%<20? major/minor} Magical Item of their choice. (Subject to DM approval, of course)
3-10,[Rumors.Reward1]

:Thing
1,artifact |ArtifactFlag={Dice~1d2}|
4,[Distance] landmark
5,weapon |WeaponFlag=1|
6,piece of jewelry |JewelryFlag=1|
7,magic item
8,gem |GemsFlag=1|
9,statue|StatueFlag=1|
10,idol|StatueFlag=2|
11,book |BookFlag=1|
12,scroll
13,bottle
14,egg
15,sphinx |SphinxFlag=1|

:OfWhat
1, of a {Lockout~Distance,4-5}[Distance][Chanceof]{If~%Chance% < 25 ? Female/ Male} Deity
2, of a [Chanceof]{If~%Chance% < 25 ? Godess/ God}
3, of a {Lockout~Distance,4-5}[Distance][Chanceof]{If~%Chance% < 25 ? Female|Gender=2|/ Male|Gender=1|} Saint (Name: St. [Names Branch=1])
4, of a {Lockout~Distance,4-5}[Distance][Chanceof]{If~%Chance% < 25 ? Lady|Gender=2|/ Lord|Gender=1|} (Name: [Names Branch=1])
5, of a {Lockout~Distance,4-5}[Distance][Chanceof]{If~%Chance% < 25 ? Queen|Gender=2|/ King|Gender=1|} (Name: [Names Branch=1])
6, of [DeityNames=%CoreGods%]
7, of a [Chanceof]{If~%Chance% < 25 ? Female/ Male} nude
8, of a [Chanceof]{If~%Chance% < 25 ? Female/ Male} figure
9, of a [Chanceof]{If~%Chance% < 25 ? Female/ Male} child
10, of a {Cap~[Creatures.Start]}
11, of [Chanceof]{If~%Chance% < 50 ? an amorous/ a} couple
12, of a [Chanceof]{If~%Chance% < 50 ? Heroic/ Mythical}[Chanceof]{If~%Chance% < 25 ? Female/ Male} figure
13, of a [Chanceof]{If~%Chance% < 25 ? beautiful woman/ handsome man}
14, of a [Chanceof]{If~%Chance% < 25 ? Female/ Male} [Class]

:AboutThings
1,with [Chanceof]{If~%Chance% < 20 ? magical/ mysterious} powers
2,from ancient times [Chanceof]{If~%Chance% < 20 ? with magical/ with mysterious} powers

:AboutPlaces
1,is the gathering point for {AorAn~[GatheringDetails]} that has raised the [Chanceof]{If~%Chance% < 50 ? suspicions/ concern}
_ of a [Chanceof]{If~%Chance% < 20 ? local} [Patron] |ContactFlag=1| who would like [Chanceof]{If~%Chance% < 20 ? you/ someone}
_ to [Investigate] the situation

:GatheringDetails
1,band of ruffians
2,group of Bandits
3,cult of [CultBranch]
4,[Chanceof]{If~%Chance% < 50 ? coven/ cult} of [HagsOrWitches]
5,gang of [Troublemakers]

:CultBranch
1,[Chanceof]{If~%Chance% < 50 ? Devil/ Demon}-Worshipers
2,[Chanceof]{If~%Chance% < 50 ? fanatics/ worshippers} of [DeityNames=%CoreGods%]
3,[Chanceof]{If~%Chance% < 30 ? Evil} Sorcerers
4,[Chanceof]{If~%Chance% < 30 ? Evil} Wizards
5,[Chanceof]{If~%Chance% < 30 ? Evil} Mages
6,Clerics of [DeityNames=%CoreGods%]

:Troublemakers
1,rebels
2,insurgents
3,troublemakers
4,revolutionaries
5,rabble-rousers
6,mercenaries

:DeityNames
1,[~Religion.CoreGods]
2,[~Religion.Deities]

:Timeframe
1,as quickly as possible
2,sometime in the near future
3,at your [Chanceof]{If~%Chance% < 20 ? earliest} convenience
4,as soon as you are available
5,as soon as possible
6,by [NotableTimes]

:NotableTimes
1,the full moon
2,the [Chanceof]{If~%Chance% < 50 ? Summer/ Winter} Solstice
3,the next [Chanceof]{If~%Chance% < 50 ? lunar/ solar} eclipse (in {Dice~1d31} Days)
4,the quarter-moon
5,the wanning moon
6,the [Chanceof]{If~%Chance% < 50 ? high/ low} tide
7,midnight
8,dawn
9,dusk
10,noon
11,the [Chanceof]{If~%Chance% < 50 ? Summer/ Winter} equinox
12,the new moon

:TimeLine
1,ancient
2,forgotten
3,mythical
4,recent
5,[Chanceof]{If~%Chance% < 50 ? newly/ recently} discovered

:Readable
1,prophecy
2,manuscript
3,book
4,letter
5,missive
6,communique'
7,epistle
8,dispatch
9,tome
10,digest
11,diary

:Motivation
1,concern has been expressed reguarding
2,guarded interest has been noted concerning
3,intense suspicion has been generated about

:Distance
1-3,local
4-5,distant
6,foreign

:Discovered
1,has been reported
2,has been seen
3,is rumored to be|RumorFlag={Dice~1d10}|
4,has been discovered

:Resolve
1,attempt to find a solution to
2,find a way to resolve
3,deal with

:Investigate
1,investigate
2,look into
3,check out

:Event
1,[NaturalEvent] [Opened] [Hidden Features]
2,[UnNaturalEvent][Chanceof]{If~%Chance% < 20 ? [Discovered]/ has mysteriously appeared}
3,[SuperNaturalEvent][Chanceof]{If~%Chance% < 20 ? [Discovered]/ has mysteriously appeared}

:NaturalEvent
1,earthquake
2,tornado
3,landslide
4,storm
5,flash flood
6,flood
7,Tsunami
8,hurricane
9,avalanche
10,mudslide
11,waterspout
12,cyclone
13,windstorm
14,tidal wave
15,sandstorm
16,lightning storm
17,thunderstorm
18,cave-in

:Opened
1,unearthed
2,uncovered
3,exposed
4,bared
5,revealed

:Hidden Features
1,{AorAn~[HowHidden]} [WhatHidden]

:HowHidden
1,forgotten
2,mythical
3,buried
4,legendary
5,lost

:WhatHidden
1,[Structure]
2,Artifact |ArtifactFlag={Dice~1d2}|

:UnNaturalEvent
1,Spatial Rift
2,Planar Rupture
3,floating island of stone

:SuperNaturalEvent
1,summoning circle
2,pentagram
3,crop circle

:Place
1,cavern complex|CavernFlag=1|
2,ancient keep|CastleFlag=1||BuildingFlag=13||Size=3|
3,abandoned castle|CastleFlag=1||BuildingFlag=7||Size=3|
4,swamp
5,field|ClearingFlag=1|
6,forest|ClearingFlag=2|
7-10,[Structure]
11,ruin|RuinsFlag=1|
12,hamlet|ClearingFlag=3|
13,spring
14,cavern|CavernFlag=1|
15,cave|CavernFlag=1|
16,grove|CavernFlag=1|
17,marsh
18,meadow|ClearingFlag=1|

:Structure
1,fountain
2,ruin|RuinsFlag=1|
3,temple|TempleFlag=1|
4,palace|BuildingFlag=4||Size=3|
5,tower|BuildingFlag=5||Size={Dice~1d2}|
6,tomb|TombFlag=1|
7,castle|CastleFlag=1||BuildingFlag=7||Size=3|
8,fortress|CastleFlag=8||Size=3|
9,abbey|BuildingFlag=9||Size={Dice~1d2+1}|
10,mansion|BuildingFlag=10||Size=2|
11,inn|BuildingFlag=11||Size={Dice~1d2}|
12,altar
13,keep|BuildingFlag=13||Size=3|

:Patron
1,Merchant
2,citizen's committee representative
3,adventurer |Class={Dice~1d11}|
4,temple representative |Class=3|
5,military officer |Class=5|
6,member of the Thieves' guild |Class=9|
7,government official
8,[Chanceof]{If~%Chance%<25 ? young} child
9,teenager
10,Seer
11,[ReligiousFigures]
12,explorer
13,Noble
14,friend
15,Scholar
16,Politician

