# ------------------------------------------------------
# Last Update: verified by Valminder Jan 04, 2008.
# ------------------------------------------------------
#
#
# Pirate Island Generator
#
# By Kevin Straight.
# A modification of the Mysterious Island Generator, for use in the Caribbean.
#
# Modified by Valminder, January 2008.
#    Added some modifications, like ~ to reroll things.
#    Added descriptions.
#

%hab%,0

:Start
1,{Status~By Kevin Straight, Valminder 2008}
_[~PINamer]{CR~}
_{Bold~What is the Coast Like?} [~Coast].{CR~}
_{Bold~Is it Inhabited?} [~Inhabited]{CR~}
_{Bold~Interesting Places}: [~Interesting Places]{CR~}
_{Bold~Inhabitants/Monsters}: {If~hab=1?[~Inhabitants]/[~Dangerous Animal]}

:Coast
1-2,Ringed by reefs
1,Grass
1,Great Guano
1,Great Inagua
1,Great Ragged
1,Great Saint James
1,Great Sale
1,Great Stirrup
1,Great Thatch
1,Great Tobago
1,Great Goat
1,Great Bird
1,Great Camanoe
1,Great Dog
1,Great Exuma
1,Green Turtle
1,Green
1,Grenada
1,Griffins
1,Gros
1,Gros Ilet
1,Grotte
1,Grunt
1,Guachinanga
1,Guajaba
1,Guana
1,Guanahani
1,Guanaja
1,Guano
1,Guayacan
1,Guillermo
1,Guincho Ginger
1,Guinchos
1,Gun
1,Gut
1,Haines
1,Hale Gate
1,Half Moon
1,Halls
1,Halls Pond
1,Hans Lollik
1,Harbour
1,Hardy
1,Harvey
1,Hassel
1,Hawes
1,Hawksbill
1,Hawksnest
1,Hen and Chicken
1,Heneagua
1,Henley
1,Henry
1,High
1,High Point
1,Highas
1,Highbourne
1,Hispaniola
1,Hoffman
1,Hog
1,Holmes
1,Hope
1,Huevos
1,Icacos
1,Iguana
1,Ilets Aux Chiens
1,Inagua
1,India
1,Indiaanskop
1,Ines Soto
1,Inner Brass
1,Iron
1,Ishmael
1,Jack Adam
1,Jalova
1,Jalovita
1,Jamaica
1,James
1,Jardines del Rey
1,Jardines de la Reina
1,Jessop
1,Jewfish
1,Joe Downer
1,Joe Creek
1,Joe Grants
1,Joe
1,John Downer
1,Johnny's
1,Johnson
1,Johnsons
1,Josephs
1,Jost Van Dyke
1,Joulter
1,Juan Perez
1,Jumento
1,Jumento
1,Kadoesji
1,Kalkun
1,Kemp
1,Key
1,Kick'em Jenny
1,Kid
1,Kits
1,Klein Bonaire
1,Klein Curaçao
1,Knife
1,Kokomo
1,L'Islot
1,la Juventud
1,La Blanquilla
1,La Cancora
1,La Perle
1,La Désirade
1,La Cordillera
1,Lanzadera
1,Lapin
1,Lapins
1,Large
1,Largo
1,Largo del Sur
1,las Palomas
1,Las Lavanderas del Oeste
1,Las Cucarachas
1,Las Lavanderas del Este
1,Las Hermanas
1,Las Cabritas
1,Laughing Bird
1,Lavigne
1,Laviscounts
1,Leduck
1,Lee Stocking
1,Lenagan
1,Leonard
1,Les Trois Ilets
1,Les Tantes
1,Levantado
1,Levera
1,Levi
1,Levisa
1,Lezard
1,Lightbourn's
1,Lignumvitae
1,Lime
1,Limestone
1,Linder
1,Little Water
1,Little Petit
1,Little Walker
1,Little Wax
1,Little Tobago
1,Little Thatch
1,Little Stirrup
1,Little Seal Dog
1,Little Scrub
1,Little San Salvador
1,Little Whale
1,Little
1,Little Abaco
1,Little Pelican
1,Little Ambergris
1,Little Nurse
1,Little Martinique
1,Little Major's
1,Little Bell
1,Little Bersus
1,Little Lloyd
1,Little Camanoe
1,Little Carters
1,Little Cat
1,Little Cave
1,Little Sale
1,Little Key
1,Little Jost Van Dyke
1,Little Cistern
1,Little Saint James
1,Little Joe Downer
1,Little Jerusalem
1,Little Inagua
1,Little Harbour
1,Little Hans Lollik
1,Little Half Moon
1,Little Guana
1,Little Romers
1,Little Corn
1,Little Grand
1,Little Crab
1,Little Goat
1,Little Ragged
1,Little Pimlico
1,Little Farmer's
1,Little Exuma
1,Little Darby
1,Little Cuana
1,Littleman
1,Lizard
1,Lobito
1,Lobo
1,Lobos
1,Lobos
1,Lobster
1,Lobster
1,Lockhart
1,Loggerhead
1,Lone Pine
1,Long
1,Long
1,Los Farallones
1,Los Gemelos
1,Los Negritos
1,Lovango
1,Lovely Bay
1,Low
1,Low Water Harbour
1,Lower Crisby
1,Lubbers Quarters
1,Lucian
1,Luis Pena
1,Lyford
1,Lynyard
1,Mabouya
1,Madam Dau's
1,Madame
1,Maddens
1,Madeira
1,Magueyes
1,Maid
1,Maiden
1,Major Hill
1,Major's
1,Makuka
1,Mal Aborder
1,Mamma Rhonda
1,Man Head
1,Man
1,Man O' War
1,Man-O-War
1,Mangrove
1,Manjack
1,Margaret
1,Margarita
1,Maria
1,Maria Langa
1,Marie-Galante
1,Mariguana
1,Marina
1,Marine
1,Market Fish
1,Marquis
1,Martinique
1,Mary
1,Mastic
1,Mat Lowe's
1,Mata Redonda
1,Mata
1,Mata Seca
1,Matei
1,Matojo
1,Mayaguana
1,Maycock
1,Mayreau
1,Meeks Patch
1,Meeuwtje
1,Melita
1,Metrente
1,Meves
1,Mid
1,Middle Creek
1,Middle Caicos
1,Middle Bight
1,Middleton
1,Milligan
1,Mingo
1,Mira Por Vos
1,Miskito
1,Mollibeday Rots
1,Mona
1,Mona
1,Money
1,Monito
1,Monkey
1,Monos
1,Montserrat
1,Moor
1,Moores
1,Moosha
1,Moraine
1,Morant
1,Moriah Harbour
1,Morrillito
1,Morrillo
1,Mosquito
1,Mouth Of Harbou
1,Muertos
1,Mujeres
1,Mushroom
1,Mustique
1,Nairn
1,Nanny
1,Navassa
1,Navidad Bank
1,Navy
1,Necker
1,Nelson
1,Nevis
1,New
1,New Providence
1,Newton
1,Nigger
1,Noah Bethel
1,Noname
1,Norman
1,Norman's Pond
1,Norte
1,North Bimini
1,North Elbow
1,North Caicos
1,North Halls
1,North Cat
1,North
1,North Andros
1,Northern Eleuthera
1,Northwest
1,Noss Mangrove
1,Numero dos
1,Nun Jack
1,Nupples
1,Nurse
1,Nurse Channel
1,O'Brien
1,Ocean
1,Old Yankee
1,One Bush
1,Orange
1,Oscar
1,Otters
1,Outer Point
1,Outer Brass
1,Over Yonder
1,Owen
1,Oyster
1,Packet
1,Pajaros
1,Palm
1,Palomas
1,Palominitos
1,Palominos
1,Paradise
1,Parguera
1,Parrot
1,Patricia
1,Paw Paw
1,Peace and Plenty
1,Pear
1,Pearl
1,Pearls
1,Pedro
1,Pela
1,Pelaita
1,Pele
1,Pelican
1,Penniston
1,Penon de Afuera
1,Penon de San Jorge
1,Penon Brusi
1,Pensacola
1,Penso
1,Perkins
1,Perpall's
1,Peter
1,Petit Ilet Duprey
1,Petit Saint Vincent
1,Petit Vincent
1,Petit Cannouan
1,Petit Piton
1,Petit Ilet
1,Petit Mustique
1,Petit Nevis
1,Petit Tobac
1,Petit
1,Petite Martinique
1,Petite Dominique
1,Petite Grenade
1,Petiteemite
1,Piedra Stevens
1,Piedra
1,Piedra del Norte
1,Pierre
1,Pigeon
1,Pillories
1,Pimlico
1,Pimlico
1,Pine
1,Pine Tree
1,Pineapple
1,Pinerito
1,Pineros
1,Pinsonelle
1,Pipe
1,Piragua de Adentro
1,Piragua de Afuera
1,Pirata
1,Plana
1,Plandon
1,Plum
1,Porpoise
1,Port Royal
1,Pot
1,Potter
1,Powell
1,Praslin
1,Prickley Pear
1,Prickly Pear
1,Prime
1,Princess
1,Protestant
1,Providencia
1,Providenciales
1,Prune
1,Puerca
1,Puerca
1,Puerto Rico
1,Pumpion
1,Punta Arenas
1,Punta Larga
1,Punta Mosquitos
1,Quatre
1,Quita Sueno Bank
1,Rabbit
1,Racoon
1,Ragged
1,Ragot
1,Rainbow
1,Ramgoat
1,Ramier
1,Ramos
1,Ramville
1,Rancho
1,Randall's
1,Rat
1,
1,Rata
1,Ratman
1,Raton
1,Ratones
1,Ratones
1,Ratones
1,Real
1,Red
1,Red Shank
1,Red Head
1,Redoda
1,Redonda
1,Reid
1,Rio
1,Roatán
1,Roca Alcatraz
1,Roca Cocinera
1,Roca Speck
1,Roca Resuello
1,Roca Velasquez
1,Roca Ola
1,Roca Cucaracha
1,Roca Culumna
1,Rock Harbour
1,Roker
1,Romano
1,Roncador
1,Ronde
1,Rose
1,Rotto
1,Rouche
1,Round
1,Royal
1,Rudder Cut
1,Rum
1,Rupert
1,Russell
1,Ruth
1,Rutter Cut
1,Saba
1,Sabinal
1,Saddle Back
1,Saddle
1,Saetia
1,Sail
1,Sailor's Choice
1,Saint Kitts
1,Saint-Barthélemy
1,Saint Christopher
1,Saint Croix
1,Saint Vincent
1,Saint Elairs
1,Saint Thomas
1,Saint-Martin
1,Saint Eustatius
1,Saint Lucia
1,Saint John
1,Saint Georges
1,Sainte-Marie
1,Sales
1,Saline
1,Salt
1,Salt Pond
1,Saltwater Money
1,Samama
1,Samana
1,Samphire
1,Sampson
1,San Juan
1,San Andrés
1,San Salvador
1,Sand
1,Sand Bank
1,Sanders
1,Sandy Spit
1,Sandy Point
1,Sandy
1,Sandy
1,Sandy Harbour
1,Santa Maria
1,Santa Catalina
1,Santiago
1,Saona
1,Sapate Eliand
1,Sapodilla
1,Saut d'Eau
1,Savan
1,Savana
1,Savanna
1,Schooner
1,Scilly
1,Scorpion
1,Scotland
1,Scrub
1,Seal
1,Seal Dog
1,Serrana Bank
1,Serranilla Bank
1,Shark
1,Sheep
1,Ship Channel
1,Shot
1,Shroud
1,Silver
1,Silver Bank
1,Simms
1,Sint Maarten
1,Sister
1,Sisters'
1,Six Hill
1,Six Shilling
1,Skipper Jacob
1,Smith
1,Snake
1,Snapper
1,Soldado
1,Soldier
1,Sombrerito
1,Sombrero
1,Soubisse
1,South Mangrove
1,South
1,South Caicos
1,South Cat
1,South Channel
1,South Stirrup
1,South Bimini
1,South Wager
1,South Spot
1,Southeast
1,Southern
1,Spanish Wells
1,Spanish
1,St. Giles
1,Staniard
1,Staniel
1,Steamer
1,Steven
1,Stocking
1,Strachan
1,Stranger
1,Stubb
1,Sugar Loaf
1,Sugarloaf
1,Sula
1,Sur
1,Swan
1,Table Au Diable
1,Tartane
1,Tarzan
1,Tear Coat
1,Tee
1,Terre de Haut
1,Terre de Bas
1,Terremoto
1,Thatch
1,The Stragglers
1,The Sisters
1,Thiery
1,Thomas
1,Thompson
1,Three Mary
1,Tiburon
1,Tierra
1,Tilloo
1,Tobago
1,Top
1,Tortola
1,Tortuga
1,Tortuga
1,Tower
1,Tres Hermanas
1,Tres Hermanos
1,Triangle
1,Trinidad
1,Trou Terre
1,Trunk
1,Tumar
1,Turner
1,Turtleback
1,Turtledove
1,Twin
1,Two Brothers
1,Umbrella
1,Union
1,Upper Sandy Harbour
1,Upper Channel
1,Upper Samphier
1,Upper
1,Útila
1,Vache
1,Vambelle
1,Verde
1,Verde
1,Vernon
1,Victory
1,Vieques
1,Vieques
1,Vigilant
1,Virgin Gorda
1,Waderick Wells
1,Walker
1,Water
1,Waterlemon
1,Watling
1,Wax
1,Weatherford
1,Welk
1,Well
1,West Caicos
1,West Sand Spit
1,West
1,West Dog
1,West Shroud
1,Wet
1,Whale
1,Whistling
1,White
1,White Bay
1,Wicked Will
1,Willemberg
1,William
1,Willis
1,Wilson
1,Wiltshires
1,Windermere
1,Wood
1,Woolen Dean
1,Yallis
1,Yellow
1,Yerba
1,York
1,Young
1,Yuma
