1,Shipyard|temp1=Shipyard|

;Deal
1,Equipment|Job=28||temp1=Equipment|
1,Arms|Job=28||temp1=Arms|
1,Illegal Arms|Job=29|
1,Spice|Job=30||temp1=Spice|
1,Starship|Job=28||temp1=Starship|
1,Starship Parts|Job=28||temp1=Starship Parts|
1,Droid|Job=28||temp1=Droid|
1,Droid Parts|Job=28||temp1=Droid Parts|
1,Small Parts|Job=28||temp1=Small Parts|
1,Vehicle|Job=28||temp1=Vehicle|
1,Vehicle Parts|Job=28||temp1=Vehicle Parts|

;Commoner
1,Bartender (I,R)|Job=31|
1,Clerk (I)|Job=32|
1,Entertainer (I)|Job=33|
1,Street Urchin (I)|Job=34|
1,Farmhand (I)|Job=35|
1,Spacer (I)|Job=36|

;Expert
1,Engineer (I,E)|Job=37|
1,Mechanic (I,E)|Job=38|
1,Scholar (I,E)|Job=39|
1,Scientist (I,E)|Job=40|

;Diplomat
1,Corporate Executive (I,R)|Job=41|
1,Bureaucrat (I,R)|Job=42|
1,Politician (I,R)|Job=43|
1,Reporter (I)|Job=44|

;Famed
1,Holovid Star|Job=45|
1,Musician|Job=46|
1,Shock Boxer|Job=47|
1,Smashball Player|Job=48||temp1=Smashball|
1,Shockball Player|Job=48||temp1=Shockball|
1,Mag-ball Player|Job=48||temp1=Mag-ball|
1,Pod-racer|Job=49||temp1=Pod|
1,Swoop-racer|Job=49||temp1=Swoop|
1,Zone-ball Player|Job=49||temp1=Zone-ball|

;Gang
1,Criminal Syndicate|temp1=Syndicate|
2,Speeder-bike Gang|temp1=Speeder-bike Gang|
3,Local Gang|temp1=Local Gang|

;Faction
1,Imperial
1,Rebellion
1,{Note~Other Faction}

;Organization
5,Steelfist
1,Shadow Wing
1,{Note~Other Pirate Clan}

;Group
1,[Faction]
2,[Organization]
5,Independant
5,

# -------------------------------
# Male Affiliation
# -------------------------------
;AffilMale
5,{Note~Insert Affiliation}|Will=10|
5,Casual Acquaintence|Will=6|
5,Owed {Dice~1d5*100} credits from character|Will=5|
3,Owes {Dice~1d5*100} credits to character|Will=8+2|
2,Owed {Dice~1d20*250} credits from character|Will=3|
1,Owes {Dice~1d20*100} credits to character|Will=5+5|
1,Distant Relative (possibly very distant)|Will=6+1|
2,Previous Contact|Will=8|
5,Former cohort|Will=7+1|
5,Former employer|Will=10|
2,Owes character his life|Will=4+6|
3,Saved character's life|Will=8+2|
1,Male admirer (i.e. Gay)|Will=5+5|
2,Long-time friend|Will=7+3|
5,Childhood friend|Will=6+3|
5,Old drinking buddy|Will=8+2|
3,Long-time rival|Will=6|
3,Bitter enemy|Will=3|

# -------------------------------
# Female Affiliations
# -------------------------------
;AffilFemale
5,{Note~Insert Affiliation}|Will=10|
5,Casual Acquaintence|Will=6|
5,Owed {Dice~1d5*100} credits from character|Will=5|
3,Owes {Dice~1d5*100} credits to character|Will=8+2|
2,Owed {Dice~1d20*250} credits from character|Will=3|
1,Owes {Dice~1d20*100} credits to character|Will=5+5|
1,Distant Relative (possibly very distant)|Will=6+1|
2,Previous Contact|Will=8|
5,Former cohort|Will=7+1|
5,Former employer|Will=10|
2,Owes character her life|Will=4+6|
3,Saved character's life|Will=8+2|
5,Love interest|Will=5+5|
5,Previous love interest|Will=6+2|
3,Scorned lover|Will=5|
2,Long-time friend|Will=7+3|
5,Childhood friend|Will=6+3|
5,Old drinking buddy|Will=8+2|
3,Long-time rival|Will=6|

# -------------------------------
# Willingness to help graphics
# -------------------------------
:Help
1,%Path1%bar1.jpg%Path2%
2,%Path1%bar2.jpg%Path2%
3,%Path1%bar3.jpg%Path2%
4,%Path1%bar4.jpg%Path2%
5,%Path1%bar5.jpg%Path2%
6,%Path1%bar6.jpg%Path2%
7,%Path1%bar7.jpg%Path2%
8,%Path1%bar8.jpg%Path2%
9,%Path1%bar9.jpg%Path2%
10,%Path1%bar10.jpg%Path2%

#---------------------------------
#Administrator
;Job1
1,Loves his job as a [temp1] Executive.
