# ---------------------------------------------------
# Last Update: modified by Valminder Jan 6, 2012.
# ---------------------------------------------------
#
# Star Wars Ores
# (a reference file with Minerals and Metals from the SW universe)
#
# Modified by Valminder, Jan 2006.
#    Adapted for TSv5.
# Modified by Valminder, Jan 2011.
#    Minor errors corrected + added bold names.
#

:Start
1-5,[Industrial Ore]
9,<b>Lowickan Firegems</b> - precious minerals . found only Lowick Asteroid Belt, deep red, glow within. The molecular structure vibrates constantly, creating a heat makes gems feel warm, vibration has adverse reaction hyperdrive reactor, reactor explode when ship enters hyperspace outlawed during Republic + New Order.
6,<b>Nova Crystals</b> - precious gemstones matrix, exposed to bright sunlight (especially red color) absorbs heat light becomes excited gemstone glows luminescence, providing a ready light source. If not refrigerated crystals can explode with incredible force.
9,<b>Ulikuo</b> - valuable gemstone found on Kip. In addition to its value as an industrial abrasive and its lustrous beauty,
1,<b>Adegan Crystals</b> - Ilum crystals, emit powerful bursts of light when induced by resonant frequencies.  most common crystals for lightsabers.

;Precious Gem
3,<b>Alzoc pearls</b> - gemstones often used a knifehandles.
6,<b>Chrysopaz</b> - a valuable gemstone
7,<b>Dawnstar</b> - a form of gemstone found in the Hapes Cluster.
2,<b>Durindfire Gem</b> - precious stone found only on Tatooine
4,<b>Emeraude </b> -  brilliant green gemstone.
1,<b>Corusca Jewels</b> - silvery-gray brilliance of Yavin for the gems.
7,<b>Ice Moon</b> - gemstone from Hapes Cluster
5,<b>Ice-jewel</b> - this was a kind of incredibly clear gemstone.
1,<b>Jasse Heart</b> - extremely valuable gemstone. 
4,<b>Jorallan Opal</b> - gemstone found on Joralla
3,<b>Falasian Liquid Crystal</b> - gemstone appeared to liquid stone, seems to move and reshape itself
9,<b>Fezzgem</b> - a rhinestone-like gem
8,<b>Fire Crystal</b> - a flaming gemstone used by jugglers. They were found only in the No-ad System. (L, GOF5)
4,<b>Fire Nodes</b> - precious gemstones.
4,<b>Firefacet</b> - a four-sided, elongated gemstone  brilliant, internal firelight
5,<b>Flame Gem</b> - wondrous gemstone found in abundance Godo, considered valuable to rest of the galaxy
7,<b>Flame Opal</b> - a valuable gemstone. (POT)
3,<b>Kerol Fire-gem</b> - rare and beautiful gemstone
9,<b>Kuggerag</b> - moderately valuable gemstone.
6,<b>Gas Gem</b> - rare stone found Bespin, formed strange, clear jewels that appear to continually shift and change.
4,<b>Glitterstone</b> - valuable Bothan gemstone was also known by its Bothan name, Fervse
7,<b>Glow Pearls</b> - precious gemstone
7,<b>Jorallan Pearls</b> -  spherical gemstones found oceans of Joralla.
3,<b>Nova Ruby</b> - valuable gemstone on planet Sarka. have not been found on any other planet
7,<b>Ora</b> - lustrous gemstone found on Bothawui.
5,<b>Pikach</b> -  valuable gemstone on Ansion.
2,<b>Rainbow Gems</b> - found on Gallinore, actually silicon-based creatures glow with inner light while maturing. mature after many thousands of years, extremely valuable
1,<b>Rol Stone</b> - extremely rare and beautiful gemstone
4,<b>Sanriv</b> - Rodian gemstone.
5,<b>Sasho Gem</b> - valuable stone
2,<b>Sormahil Fire Gems</b> - rare and beautiful gemstone.
2,<b>StarCrystal</b> - a Bosph gemstone which is rumored to have mystical properties.
6,<b>Sun-stone</b> -  valuable gemstone.
7,<b>Ultima-pearl</b> - rare stone oceans of Calamari. Cilghal used one as the focusing gem in her lightsaber. 
9,<b>Synth-sapph</b> - lab-created gemstone in place of real sapphires.
1,<b>Tumanian Pressure-ruby</b> - very rare gemstone that, if perfect worth several million credits.
5,<b>Laboi Mineral Crystals</b> - mined on Laboi II, these crystals are popular in the Galactic Core.

:Lowgrade
1,<b>{CapEachWord~[Gem1]}</b> - an ornamental gem
2,<b>{CapEachWord~[Gem2]}</b> - a semi-precious stone
3,<b>{CapEachWord~[Gem3]}</b> - a fancy stone
4,<b>{CapEachWord~[Gem4]}</b> - a precious stone

# Ornamental
:Gem1
1-2,agni mani
3-4,algae
5-6,augelite
7-8,azurite
9-10,banded agate
11-12,bluestone
13-14,blue quartz
15-16,chrysocolla
17-18,corstal
19-20,crown of silver
21-22,disthene
23-24,epidot
25-26,eye agate
27-28,fire agate
29-30,fluorspar
31-32,frost agate
33-34,goldline
35-36,greenstone
37-38,hematite
39-40,lapis lazuli
41-42,hyaline
43-44,lynx eye
45-46,malachite
47-48,moss agate
49-50,microcline
51-52,nelvine
53-54,nune
55-56,obsidian
57-58,oolite
59-60,ophealine
61-62,rhodoschrosite
63-64,rosaline
65-66,sagenite
67-68,sanidine
69-70,sarbossa
71-72,satin spar
73-74,sharpstone
75-76,sheen
77-78,silkstone
79-80,snowflake obsedian
81-82,sunstone
83-84,thuparlial
85-86,tiger eye agate
87-88,turquoise
89-90,variscite
91-92,violane
93-94,webstone
95-96,wonderstone
97-98,woodtine
99-100,zarbina

# Semi-Precious Stones
:Gem2
01-02,alestone
03-04,andar
05-06,aventurine
07-10,bloodstone
11-12,bloakhar
13-15,carnelian
16-18,chalcedony
19-21,chrysoprase
22-24,citrine
25-26,clelophane
27-28,datchas
29-30,dioptase
31-32,gold Sheen
33-34,hambergyle
35-36,hydrophane
37-38,hypersthene
39-40,tol
41-43,jasper
44-45,irtios
46-47,luriyl
48-49,malacon
50-51,mellochrysos
52-54,moonstone
55-56,mykaro
57-58,mynteer
59-62,onyx
63-64,orprase
65-66,phenalope
67-68,rainbow obsidian
69-72,rock crystal
73-74,samarskite
75-77,sardonyx
78-80,serpentine
81-82,skydrop
83-86,smokey quartz
87-88,spodumene
89-91,star rose quartz
92-93,tabasheer
94-95,tchazar
96-97,witherite
98-00,zircon
#Andurite - a semi-precious stone often cut into small shapes for rings.

# Fancy Stone
:Gem3
01-06,alexandrite 
07-14,amber
15-22,amethyst
23-26,angel's Skin
27-30,brandeen
31-36,chrysoberyl
37-44,coral
45-48,jargoon
49-54,jade
55-60,jet
61-64,kornerupine
65-68,laeral's tears
69-72,octel
73-76,scapra
77-80,shandon
81-85,sinhalite
86-88,star diopside
89-92,tourmaline
93-94,tremair
95-96,ulvaen
97-98,waterstar
99-00,ziose

# Precious Stone
:Gem4
01-07,aquamarine
08-14,euclase
15-21,flamedance
22-29,garnet
30-37,heliodor
38-44,horn coral
45-51,orbaline
52-59,pearl
60-67,peridot
68-75,raindrop
76-81,rusteen
82-88,sphene
89-95,spinel
96-00,topaz

:SemiPrecious Gem
1,<b>{CapEachWord~[Gem5]}</b> - a gem
2,<b>{CapEachWord~[Gem6]}</b> - a jewel
3,<b>{CapEachWord~[Gem7]}</b> - hardstone

# Gems (1000 gp)
:Gem5
01-08,black opal
09-16,fire opal
17-24,jasmal
24-32,moonbar
33-40,opal
41-48,orblen
49-56,orl
57-64,ravenar
65-72,red tears
73-76,sapphire
77-79,shou lung amethyst
80-82,shou lung topaz
83-89,tomb jade
90-94,water opal
95-00,zendalure

# Jewels (5000 gp)
:Gem6
01-06,amaratha
07-17,beljuril
18-25,black sapphire
26-36,diamond
37-47,emerald
48-58,jacinth
59-69,king's tears
70-71,rogue stone
72-82,ruby
83-85,shou lung emerald
86-93,star ruby
94-00,star sapphire

#Hardstones
:Gem7
01-06,alabaster
07-12,archon
13-18,hornbill ivory
19-24,iris agate
25-30,ivory
31-36,lumachella
37-42,luspeel
43-48,marble
49-54,meerschaum
55-60,pipestone
61-66,psaedros
67-72,serpentine stone
73-78,soapstone
79,star metal
80-85,sulabra
86-91,tempskya
92-95,turritella
96-00,xylopal

